CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
117-81-7	Di(2-ethylhexyl) phthalate	0.15	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.05	Low to moderate	This P-score is based on an aquatic environmental half-life of 10.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.11	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.71	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
118-74-1	Hexachlorobenzene	0.49	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.96	Very High	This P-score is based on an aquatic environmental half-life of 401.4 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.17	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.70	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
119-47-1	2,2'-Methylenebis(4-methyl-6-tert-butylphenol)	0.39	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.79	Very High	This P-score is based on an aquatic environmental half-life of 129.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.13	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.57	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
119-61-9	Benzophenone	0.32	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.15	Low to moderate	This P-score is based on an aquatic environmental half-life of 22 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.35	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.63	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
119-65-3	Isoquinoline	0.35	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.12	Low to moderate	This P-score is based on an aquatic environmental half-life of 18.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.53	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.72	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
12002-48-1	Trichlorobenzene	0.48	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.60	Very High	This P-score is based on an aquatic environmental half-life of 76.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.28	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.64	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
120-12-7	Anthracene	0.49	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.57	Very High	This P-score is based on an aquatic environmental half-life of 70.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.22	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.96	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
120-71-8	2-Methoxy-5-methylaniline	0.48	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.25	Low to moderate	This P-score is based on an aquatic environmental half-life of 31.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.51	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.87	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
120-80-9	Catechol	0.25	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.07	Low to moderate	This P-score is based on an aquatic environmental half-life of 13.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.54	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.42	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
120-82-1	1,2,4-Trichlorobenzene	0.49	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.60	Very High	This P-score is based on an aquatic environmental half-life of 76.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.29	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.68	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
122-60-1	Phenyl glycidyl ether	0.41	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.15	Low to moderate	This P-score is based on an aquatic environmental half-life of 21.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.54	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.83	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
