CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
3296-90-0	Pentaerythritol dibromide	0.45	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.17	Low to moderate	This P-score is based on an aquatic environmental half-life of 23.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.71	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.79	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
330-54-1	Diuron	0.58	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.53	Very High	This P-score is based on an aquatic environmental half-life of 64.1 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.44	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.85	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
330-55-2	Linuron	0.57	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.56	Very High	This P-score is based on an aquatic environmental half-life of 68.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.39	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.85	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
33213-65-9	Endosulfan II	0.57	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 1590.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.30	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
335-67-1	Perfluorooctanoic acid	0.60	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.99	Very High	This P-score is based on an aquatic environmental half-life of 998.4 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.36	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
335-76-2	Perfluorodecanoic acid	0.54	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 3515.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.25	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
3424-82-6	o,p'-DDE	0.30	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.87	Very High	This P-score is based on an aquatic environmental half-life of 181.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.10	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.33	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
34454-97-2	1-Butanesulfonamide, 1,1,2,2,3,3,4,4,4-nonafluoro-N-(2-hydroxyethyl)-N-methyl-	0.63	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.95	Very High	This P-score is based on an aquatic environmental half-life of 336.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.47	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.56	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
355-46-4	Perfluorohexanesulfonic acid	0.60	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.99	Very High	This P-score is based on an aquatic environmental half-life of 869.4 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.39	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.55	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
36483-57-5	Tribromoneopentyl alcohol	0.58	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.50	Very High	This P-score is based on an aquatic environmental half-life of 60.1 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.48	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.80	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
375-72-4	Perfluorobutanesulfonyl fluoride	0.48	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.96	Very High	This P-score is based on an aquatic environmental half-life of 362.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.21	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.57	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
375-73-5	Perfluorobutanesulfonic acid	0.63	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.92	Very High	This P-score is based on an aquatic environmental half-life of 246.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.51	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.53	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
375-85-9	Perfluoroheptanoic acid	0.63	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.98	Very High	This P-score is based on an aquatic environmental half-life of 532.1 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.42	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
375-95-1	Perfluorononanoic acid	0.57	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 1873.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.31	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
376-06-7	Perfluorotetradecanoic acid	0.40	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 43589.4 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.11	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
