CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
80-05-7	Bisphenol A	0.43	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.27	Low to moderate	This P-score is based on an aquatic environmental half-life of 34 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.32	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.90	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
80-09-1	4,4'-Sulfonyldiphenol	0.31	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.18	Low to moderate	This P-score is based on an aquatic environmental half-life of 24.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.47	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.35	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
80-43-3	Dicumyl peroxide	0.29	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.57	Very High	This P-score is based on an aquatic environmental half-life of 70.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.13	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.34	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
80-46-6	4-(2-Methylbutan-2-yl)phenol	0.29	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.22	Low to moderate	This P-score is based on an aquatic environmental half-life of 28.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.30	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.38	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
80-54-6	2-(4-Tert-Butylbenzyl)propionaldehyde	0.41	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.36	High	This P-score is based on an aquatic environmental half-life of 42.4 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.32	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
81-81-2	Warfarin	0.47	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.33	High	This P-score is based on an aquatic environmental half-life of 39.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.44	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.74	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
83-32-9	Acenaphthene	0.31	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.21	Low to moderate	This P-score is based on an aquatic environmental half-life of 27.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.27	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.53	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
838-88-0	4,4'-Diamino-3,3'-dimethyldiphenylmethane	0.59	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.58	Very High	This P-score is based on an aquatic environmental half-life of 72.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.38	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.91	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
84-61-7	Dicyclohexyl phthalate	0.24	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.18	Low to moderate	This P-score is based on an aquatic environmental half-life of 25.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.18	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.42	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
84-65-1	Anthraquinone	0.35	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.21	Low to moderate	This P-score is based on an aquatic environmental half-life of 28.1 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.24	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.83	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
84-69-5	Diisobutyl phthalate	0.31	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.13	Low to moderate	This P-score is based on an aquatic environmental half-life of 20.1 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.32	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.71	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
84-74-2	Dibutyl phthalate	0.16	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.02	Low to moderate	This P-score is based on an aquatic environmental half-life of 6.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.29	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.71	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
84852-53-9	1,1'-Ethane-1,2-diylbis(pentabromobenzene)	0.07	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 13109 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.00	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 11.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.33	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
85-01-8	Phenanthrene	0.48	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.57	Very High	This P-score is based on an aquatic environmental half-life of 70.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.21	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.91	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
85-42-7	Hexahydrophthalic anhydride	0.22	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.05	Low to moderate	This P-score is based on an aquatic environmental half-life of 10.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.72	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.33	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
