CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
60-09-3	4-Aminoazobenzene	0.49	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.46	High	This P-score is based on an aquatic environmental half-life of 54.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.30	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.87	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
60207-90-1	Propiconazole	0.55	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.84	Very High	This P-score is based on an aquatic environmental half-life of 160.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.35	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.56	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
60-34-4	Methylhydrazine	0.35	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.07	Low to moderate	This P-score is based on an aquatic environmental half-life of 12.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.76	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.84	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
603-48-5	Leucogentian violet	0.54	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.93	Very High	This P-score is based on an aquatic environmental half-life of 269.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.20	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.86	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
605-50-5	Isoamyl phthalate	0.29	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.16	Low to moderate	This P-score is based on an aquatic environmental half-life of 22.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.22	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.71	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
60-57-1	Dieldrin	0.57	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 1445.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.23	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.80	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
608-73-1	1,2,3,4,5,6-Hexachlorocyclohexane	0.54	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.93	Very High	This P-score is based on an aquatic environmental half-life of 278.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.25	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.66	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
608-93-5	Pentachlorobenzene	0.50	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.91	Very High	This P-score is based on an aquatic environmental half-life of 231.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.21	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.66	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
612-83-9	3,3'-Dichlorobenzidine dihydrochloride	0.73	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.69	Very High	This P-score is based on an aquatic environmental half-life of 95.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.65	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.89	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
61788-32-7	Hydrogenated terphenyl	0.10	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.24	Low to moderate	This P-score is based on an aquatic environmental half-life of 30.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.02	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 7.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.17	Low to moderate	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
621-64-7	N-Nitrosodipropylamine	0.53	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.32	Low to moderate	This P-score is based on an aquatic environmental half-life of 38.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.56	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.81	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
